Month,Word,Count
1,american,220
2,american,723
3,american,3178
4,american,1687
1,authorities,545
2,authorities,1290
3,authorities,3806
4,authorities,1593
1,billion,218
2,billion,999
3,billion,4382
4,billion,2032
1,business,298
2,business,1380
3,business,8143
4,business,3425
1,businesses,122
2,businesses,602
3,businesses,5255
4,businesses,2728
1,case,410
2,case,1106
3,case,4063
4,case,2117
1,cases,800
2,cases,2542
3,cases,9821
4,cases,4659
1,change,157
2,change,681
3,change,3910
4,change,1959
1,china,1158
2,china,3847
3,china,6075
4,china,2271
1,chinese,857
2,chinese,2175
3,chinese,2172
4,chinese,1057
1,companies,296
2,companies,1246
3,companies,6515
4,companies,2760
1,company,360
2,company,1420
3,company,8726
4,company,2816
1,concerns,273
2,concerns,1067
3,concerns,3334
4,concerns,1533
1,confirmed,650
2,confirmed,1748
3,confirmed,6358
4,confirmed,3041
3,constructor,NaN
1,coronavirus,1610
2,coronavirus,5992
3,coronavirus,30753
4,coronavirus,16418
1,countries,541
2,countries,1806
3,countries,6746
4,countries,3238
1,country,437
2,country,1595
3,country,8636
4,country,5131
1,covid,27
2,covid,1059
3,covid,14232
4,covid,8311
1,crisis,207
2,crisis,955
3,crisis,9692
4,crisis,5886
1,cut,141
2,cut,932
3,cut,4015
4,cut,2035
1,day,407
2,day,1903
3,day,10134
4,day,5784
1,death,317
2,death,1040
3,death,3708
4,death,2854
1,deaths,267
2,deaths,1122
3,deaths,4589
4,deaths,3192
1,died,225
2,died,779
3,died,3078
4,died,2063
1,difficult,98
2,difficult,461
3,difficult,3613
4,difficult,2154
1,disease,726
2,disease,1938
3,disease,7434
4,disease,3376
1,distancing,9
2,distancing,57
3,distancing,3733
4,distancing,2826
1,donald,105
2,donald,475
3,donald,3562
4,donald,2392
1,download,297
2,download,971
3,download,6991
4,download,5375
1,economic,361
2,economic,1618
3,economic,7075
4,economic,3321
1,economy,263
2,economy,1591
3,economy,5657
4,economy,3197
1,emergency,479
2,emergency,757
3,emergency,6315
4,emergency,2732
1,europe,161
2,europe,689
3,europe,4028
4,europe,1537
1,european,141
2,european,638
3,european,3579
4,european,1473
1,face,189
2,face,779
3,face,4481
4,face,2949
1,family,283
2,family,492
3,family,4277
4,family,2832
1,financial,232
2,financial,1309
3,financial,8051
4,financial,2929
1,future,116
2,future,513
3,future,4978
4,future,2258
1,global,793
2,global,2789
3,global,9746
4,global,3992
1,government,493
2,government,1719
3,government,12569
4,government,6718
1,health,1395
2,health,3868
3,health,18239
4,health,9146
1,help,283
2,help,1062
3,help,10496
4,help,5530
1,historic,298
2,historic,1010
3,historic,7289
4,historic,5587
1,home,311
2,home,1215
3,home,10912
4,home,5975
1,hospital,307
2,hospital,924
3,hospital,3973
4,hospital,3255
1,impact,362
2,impact,1863
3,impact,7098
4,impact,2482
1,increase,172
2,increase,696
3,increase,4366
4,increase,2160
1,infected,552
2,infected,1496
3,infected,4470
4,infected,1965
1,information,344
2,information,835
3,information,6449
4,information,1934
1,issues,372
2,issues,1296
3,issues,8548
4,issues,6214
1,italy,73
2,italy,869
3,italy,4159
4,italy,1476
1,life,99
2,life,393
3,life,4350
4,life,2932
1,local,259
2,local,899
3,local,5254
4,local,2489
1,lockdown,197
2,lockdown,443
3,lockdown,4508
4,lockdown,4592
1,march,162
2,march,943
3,march,12188
4,march,4867
1,market,621
2,market,2106
3,market,7005
4,market,2530
1,markets,448
2,markets,1545
3,markets,5267
4,markets,1473
1,measures,316
2,measures,1106
3,measures,8499
4,measures,3878
1,media,257
2,media,886
3,media,4756
4,media,2292
1,medical,460
2,medical,1163
3,medical,7364
4,medical,3829
1,members,155
2,members,497
3,members,4188
4,members,2112
1,million,387
2,million,1288
3,million,7182
4,million,4570
1,money,62
2,money,552
3,money,3865
4,money,2665
1,national,449
2,national,1351
3,national,7244
4,national,4172
1,news,423
2,news,1640
3,news,7351
4,news,4015
1,newspaper,320
2,newspaper,1041
3,newspaper,7184
4,newspaper,5510
1,number,481
2,number,1885
3,number,9439
4,number,4896
1,official,228
2,official,824
3,official,3285
4,official,1990
1,online,129
2,online,531
3,online,4249
