Month,Word,Count,Percent
1,china,1153,86.82228916
2,china,3807,73.97979013
3,china,6032,20.17863714
4,china,2269,14.20788979
1,coronavirus,1327,99.9246988
2,coronavirus,5100,99.10610183
3,coronavirus,27195,90.97447563
4,coronavirus,14858,93.03694427
1,covid,27,2.03313253
2,covid,1017,19.76292266
3,covid,13654,45.67624527
4,covid,7862,49.22980589
1,italy,73,5.496987952
2,italy,866,16.82860474
3,italy,4151,13.88619409
4,italy,1476,9.242329368
1,lockdown,196,14.75903614
2,lockdown,442,8.589195492
3,lockdown,4436,14.83959455
4,lockdown,4497,28.15904822
1,outbreak,1022,76.95783133
2,outbreak,3643,70.79284881
3,outbreak,12729,42.58187536
4,outbreak,5039,31.55291171
1,pandemic,190,14.30722892
2,pandemic,782,15.19626895
3,pandemic,13073,43.73264644
4,pandemic,9072,56.80651221
1,spread,783,58.96084337
2,spread,2387,46.38554217
3,spread,10760,35.99504901
4,spread,4237,26.53099562
1,trump,139,10.46686747
2,trump,592,11.50408084
3,trump,4373,14.62884287
4,trump,2789,17.46399499
1,virus,1014,76.35542169
2,virus,3314,64.39953362
3,virus,13241,44.29465092
4,virus,5803,36.33688165
1,we,758,57.07831325
2,we,3045,59.17217256
3,we,19532,65.33971164
4,we,10375,64.96556043
1,wuhan,805,60.61746988
2,wuhan,1264,24.5627672
3,wuhan,1317,4.405713712
4,wuhan,727,4.552285535
