Month,Word,Count,Percent
1,china,1153,86.82228916
2,china,3807,73.97979013
3,china,6032,20.17863714
4,china,2269,14.20788979
1,coronavirus,1327,99.9246988
2,coronavirus,5100,99.10610183
3,coronavirus,27195,90.97447563
4,coronavirus,14858,93.03694427
1,covid,27,2.03313253
2,covid,1017,19.76292266
3,covid,13654,45.67624527
4,covid,7862,49.22980589
1,italy,73,5.496987952
2,italy,866,16.82860474
3,italy,4151,13.88619409
4,italy,1476,9.242329368
1,we,758,57.07831325
2,we,3045,59.17217256
3,we,19532,65.33971164
4,we,10375,64.96556043
